SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 10, 2020	October 09, 2020	October 08, 2020	October 07, 2020	October 06, 2020
Chinese yuan		0.1052690000			
Euro		0.8338070000	0.8335060000	0.8340500000	0.8347820000
Japanese yen		0.0066715400	0.0066836000	0.0067072800	0.0066989300
U.K. pound		0.9144310000	0.9139510000	0.9116800000	0.9154290000
U.S. dollar		0.7069160000	0.7084620000	0.7086240000	0.7077420000
Algerian dinar		0.0054877800	0.0054933400	0.0054953400	0.0054919600
Australian dollar		0.5074950000	0.5061960000	0.5048240000	0.5089370000
Botswana pula		0.0616431000	0.0617070000	0.0615086000	0.0616443000
Brazilian real		0.1276320000	0.1260740000	0.1265130000	0.1282160000
Brunei dollar		0.5211320000	0.5212350000	0.5203200000	0.5207050000
Canadian dollar		0.5381520000	0.5359020000	0.5338030000	0.5332590000
Chilean peso		0.0008866930	0.0008910910	0.0008887240	0.0008909810
Colombian peso		0.0001841060	0.0001846020	0.0001851750	0.0001841280
Czech koruna		0.0307582000	0.0307639000	0.0308151000	0.0308828000
Danish krone		0.1120380000	0.1119960000	0.1120730000	0.1121900000
Indian rupee		0.0096559600	0.0096659900	0.0096595000	0.0096464100
Israeli New Shekel		0.2090850000	0.2087400000	0.2079910000	0.2074880000
Korean won			0.0006094300	0.0006108830	0.0006083390
Kuwaiti dinar			2.3148600000	2.3153900000	2.3140200000
Malaysian ringgit		0.1704440000	0.1704880000	0.1703630000	0.1705400000
Mauritian rupee		0.0176612000	0.0177273000	0.0177238000	0.0176820000
Mexican peso		0.0333731000	0.0330566000	0.0329700000	0.0329939000
New Zealand dollar		0.4662820000	0.4641130000	0.4664160000	0.4709320000
Norwegian krone		0.0767619000	0.0764417000	0.0762995000	0.0768658000
Omani rial				1.8429800000	1.8406800000
Peruvian sol				0.1981060000	0.1976380000
Philippine peso		0.0146126000	0.0146243000	0.0146480000	0.0146143000
Polish zloty		0.1864570000	0.1855830000	0.1858640000	0.1853700000
Qatari riyal			0.1946320000	0.1946770000	0.1944350000
Russian ruble		0.0091773400	0.0090926700	0.0090742100	0.0090144600
Saudi Arabian riyal			0.1889230000	0.1889660000	0.1887310000
Singapore dollar		0.5211320000	0.5212350000	0.5203200000	0.5207050000
South African rand		0.0428742000	0.0426873000	0.0425852000	0.0428879000
Swedish krona		0.0798730000	0.0798960000	0.0792502000	0.0795484000
Swiss franc		0.7747450000	0.7716610000	0.7723420000	0.7734460000
Thai baht		0.0227158000	0.0227020000	0.0226311000	0.0226499000
Trinidadian dollar			0.1051740000	0.1054340000	0.1053380000
U.A.E. dirham			0.1929100000	0.1929540000	0.1927140000
Uruguayan peso		0.0166075000	0.0166481000	0.0166688000	0.0166567000

Currency units per SDR(3)

Currency	October 10, 2020	October 09, 2020	October 08, 2020	October 07, 2020	October 06, 2020
Chinese yuan		9.499470			
Euro		1.199320	1.199750	1.198970	1.197920
Japanese yen		149.890000	149.620000	149.092000	149.278000
U.K. pound		1.093580	1.094150	1.096880	1.092380
U.S. dollar		1.414600	1.411510	1.411190	1.412940
Algerian dinar		182.223000	182.039000	181.972000	182.084000
Australian dollar		1.970460	1.975520	1.980890	1.964880
Botswana pula		16.222400	16.205600	16.257900	16.222100
Brazilian real		7.835030	7.931850	7.904330	7.799340
Brunei dollar		1.918900	1.918520	1.921890	1.920470
Canadian dollar		1.858210	1.866010	1.873350	1.875260
Chilean peso		1,127.790000	1,122.220000	1,125.210000	1,122.360000
Colombian peso		5,431.650000	5,417.060000	5,400.300000	5,431.000000
Czech koruna		32.511700	32.505600	32.451600	32.380500
Danish krone		8.925540	8.928890	8.922760	8.913450
Indian rupee		103.563000	103.456000	103.525000	103.666000
Israeli New Shekel		4.782740	4.790650	4.807900	4.819560
Korean won			1,640.880000	1,636.970000	1,643.820000
Kuwaiti dinar			0.431992	0.431893	0.432148
Malaysian ringgit		5.867030	5.865520	5.869820	5.863730
Mauritian rupee		56.621300	56.410200	56.421300	56.554700
Mexican peso		29.964300	30.251100	30.330600	30.308600
New Zealand dollar		2.144620	2.154650	2.144010	2.123450
Norwegian krone		13.027300	13.081900	13.106200	13.009700
Omani rial				0.542599	0.543277
Peruvian sol				5.047800	5.059760
Philippine peso		68.434100	68.379300	68.268700	68.426100
Polish zloty		5.363170	5.388420	5.380280	5.394620
Qatari riyal			5.137900	5.136710	5.143110
Russian ruble		108.964000	109.979000	110.202000	110.933000
Saudi Arabian riyal			5.293160	5.291960	5.298550
Singapore dollar		1.918900	1.918520	1.921890	1.920470
South African rand		23.324100	23.426200	23.482300	23.316600
Swedish krona		12.519900	12.516300	12.618300	12.571000
Swiss franc		1.290750	1.295910	1.294760	1.292920
Thai baht		44.022200	44.049000	44.187000	44.150300
Trinidadian dollar			9.508050	9.484610	9.493250
U.A.E. dirham			5.183760	5.182580	5.189040
Uruguayan peso		60.213800	60.066900	59.992300	60.035900


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
